Time (Minutes),Pages Crawled,Keywords Extracted,Pages TODO
0.19615218333333334,293,200,1598
0.1964206166666667,294,201,1604
0.19671271666666668,295,201,1613
0.19695556666666666,296,201,1615
0.19719951666666666,297,201,1617
0.1981641,298,201,1620
0.19845428333333331,299,201,1625
0.19997118333333336,300,201,1628
0.20025795000000002,301,201,1631
0.20056153333333335,302,201,1633
0.20081425,303,201,1637
0.20157916666666667,304,201,1636
0.20168623333333333,305,201,1635
0.20226781666666668,306,201,1644
0.20279255,307,201,1647
0.20309831666666664,308,201,1659
0.2033845,309,201,1661
0.20351711666666666,311,203,1659
0.20371423333333333,312,204,1658
0.20424468333333332,313,204,1660
0.20458153333333332,314,204,1663
0.20504383333333334,315,206,1687
0.2051838666666667,316,206,1686
0.20625356666666667,317,206,1689
0.20652986666666667,318,206,1691
0.2070438,319,206,1699
0.20726336666666667,320,210,1729
0.20933675,321,210,1731
0.20971168333333334,322,210,1733
0.20995888333333335,323,210,1735
0.21024505000000002,324,210,1748
0.21049611666666665,325,210,1750
0.21075413333333334,326,210,1752
0.21123445000000002,328,210,1753
0.21152581666666667,330,210,1754
0.21272521666666666,331,210,1758
0.21310486666666667,332,210,1760
0.21336955,333,210,1762
0.21363790000000002,334,210,1765
0.21375175000000002,335,210,1764
0.2138127833333333,336,211,1764
0.21586455000000002,337,211,1766
0.2162074833333333,338,211,1768
0.21731055000000002,340,211,1778
0.21757326666666668,341,211,1780
0.21781391666666666,342,211,1782
0.21804018333333333,345,214,1779
0.21809874999999998,346,216,1780
0.21835905,347,216,1782
0.21897343333333333,348,216,1791
0.21983830000000001,349,216,1793
0.22010685,350,216,1795
0.22034673333333332,351,216,1797
0.22060273333333333,352,216,1799
0.22092268333333334,353,216,1801
0.22290511666666665,354,216,1803
0.2232699833333333,355,216,1805
0.2235537,356,216,1807
0.2238497,357,216,1819
0.22410723333333332,358,216,1821
0.22435763333333333,360,220,1830
0.22482866666666668,361,220,1829
0.22689025,362,220,1832
0.22721938333333333,363,220,1836
0.22749063333333333,364,220,1839
0.22774036666666667,365,221,1842
0.22798253333333335,366,223,1864
0.22824786666666666,367,223,1866
0.22848966666666665,368,223,1869
0.22879753333333333,369,223,1871
0.22905901666666667,370,223,1873
0.2293956,373,223,1880
0.2296618,374,223,1882
0.23004301666666666,375,223,1884
0.23028345,376,223,1886
0.23166968333333332,377,223,1888
0.23469715000000002,378,223,1896
0.2359116,379,223,1898
0.23615726666666664,380,223,1900
0.23641276666666666,381,223,1902
0.23666771666666667,382,223,1904
0.23693686666666666,383,223,1906
0.23720213333333331,384,223,1909
0.23738986666666667,386,225,1909
0.23750525,387,230,1909
0.23910701666666664,388,235,1909
0.24007205,390,240,1909
0.241212,391,242,1910
0.24243613333333333,392,247,1909
0.24277954999999998,393,247,1919
0.2432579,394,248,1918
0.2437654,399,249,1917
0.24503826666666667,400,250,1916
0.24711473333333334,405,250,1915
0.24741625,406,250,1917
0.24770905000000001,408,250,1920
0.25043975,410,250,1922
0.25083473333333334,411,250,1929
0.25109048333333334,412,250,1931
0.25134008333333335,413,250,1934
0.2515946666666667,414,250,1936
